ROOM_NO	ROOM_TYPE	ROOM_CATEGORY	LOCATION_CODE	SMOKING	MAID_STATION	LOCKING_FLAG	WHO_LOCKED	ROOM_STATUS	ROOM_ACTUALPIC	ROOM_PICXPOS	ROOM_PICYPOS	ROOM_PICHEIGHT	ROOM_PICWIDTH	REMARKS	AUDIT_USER	AUDIT_DATE
1001	STS	ST	10FL	1				VD							carlo	6/2/97 21:33:02:47
1002	JS	JS	10FL	1				VD							carlo	6/2/97 22:47:46:98
1003	SP	SP	10FL	1				VD							carlo	6/2/97 23:19:30:25
1004	DXD	DX	10FL	1				VD							carlo	6/2/97 22:21:41:71
1005	STD	ST	10FL	1				VD							carlo	6/2/97 21:11:58:69
1006	DXS	DX	10FL	1				VD							carlo	6/2/97 22:08:00:52
1007	DXD	DX	10FL	1				VD							carlo	6/2/97 22:22:18:89
1008	SP	SP	10FL	1				VD							carlo	6/2/97 23:20:29:02
1009	DXS	DX	10FL	1				VD							carlo	6/2/97 22:07:32:67
1010	SP	SP	10FL	1				VD							carlo	6/2/97 23:20:15:46
1011	SP	SP	10FL	1				VD							carlo	6/2/97 23:19:45:25
1012	DXD	DX	10FL	1				VD							carlo	6/2/97 22:22:46:47
1013	STS	ST	10FL	1				VD							carlo	6/2/97 21:33:23:35
1014	DXS	DX	10FL	1				VD							carlo	6/2/97 22:07:46:24
1015	STD	ST	10FL	1				VD							carlo	6/2/97 21:12:35:38
1016	STD	ST	10FL	1				VD							carlo	6/2/97 21:12:52:52
1017	SP	SP	10FL	1				VD							carlo	6/2/97 23:20:00:57
1018	STS	ST	10FL	1				VD							carlo	6/2/97 21:33:44:88
1019	STS	ST	10FL	1				VD							carlo	6/2/97 21:34:05:53
1020	JS	JS	10FL	1				VD							carlo	6/2/97 22:48:04:61
1101	STS	ST	11FL	1				VD							carlo	6/2/97 21:34:25:74
1102	JS	JS	11FL	1				VD							carlo	6/2/97 22:48:19:38
1103	SP	SP	11FL	1				VD							carlo	6/2/97 23:20:42:04
1104	DXD	DX	11FL	1				VD							carlo	6/2/97 22:23:28:76
1105	STD	ST	11FL	1				VD							carlo	6/2/97 21:13:07:62
1106	DXS	DX	11FL	1				VD							carlo	6/2/97 22:08:51:76
1107	DXD	DX	11FL	1				VD							carlo	6/2/97 22:23:51:55
1108	SP	SP	11FL	1				VD							carlo	6/2/97 23:21:37:52
1109	DXS	DX	11FL	1				VD							carlo	6/2/97 22:08:22:1
1110	SP	SP	11FL	1				VD							carlo	6/2/97 23:21:22:47
1111	SP	SP	11FL	1				VD							carlo	6/2/97 23:20:56:38
1112	DXD	DX	11FL	1				VD							carlo	6/2/97 22:24:11:16
1113	STS	ST	11FL	1				VD							carlo	6/2/97 21:34:53:75
1114	DXS	DX	11FL	1				VD							carlo	6/2/97 22:08:36:77
1115	STD	ST	11FL	1				VD							carlo	6/2/97 21:14:03:43
1116	STD	ST	11FL	1				VD							carlo	6/2/97 21:14:20:46
1117	SP	SP	11FL	1				VD							carlo	6/2/97 23:21:09:56
1118	STS	ST	11FL	1				VD							carlo	6/2/97 21:35:13:69
1119	STS	ST	11FL	1				VD							carlo	6/2/97 21:35:37:58
1120	JS	JS	11FL	1				VD							carlo	6/2/97 22:48:33:99
