dept_cd	audit_user	audit_date	descs
908600	MGR	1/1/2014 00:00:00	ABF CREDIT RISK
944421	MGR	1/1/2014 00:00:00	ACQUITION & CORPORATE SALES
943410	MGR	1/1/2014 00:00:00	ADIRA XSELL HO 
902100	MGR	1/1/2014 00:00:00	BANCASSURANCE
082281	MGR	1/1/2014 00:00:00	BANDUNG OFFICE CHANELLING
905200	MGR	1/1/2014 00:00:00	BANKWIDE
044500	MGR	1/1/2014 00:00:00	BDI ABEPURA-RAYA ABEPURA
045700	MGR	1/1/2014 00:00:00	BDI AMBON - BATU MERAH
040700	MGR	1/1/2014 00:00:00	BDI AMBON DIPONEGORO                    
035700	MGR	1/1/2014 00:00:00	BDI AMPENAN-KOPERASI
033500	MGR	1/1/2014 00:00:00	BDI ATAMBUA SUDIRMAN                    
038400	MGR	1/1/2014 00:00:00	BDI BADUNG - GATOT SUBROTO BARAT
038000	MGR	1/1/2014 00:00:00	BDI BADUNG KEROBOKAN
066300	MGR	1/1/2014 00:00:00	BDI BAGAN BATU SUDIRMAN
053500	MGR	1/1/2014 00:00:00	BDI BALIKPAPAN - A.YANI
050200	MGR	1/1/2014 00:00:00	BDI BALIKPAPAN - SUDIRMAN 
052600	MGR	1/1/2014 00:00:00	BDI BALIKPAPAN PANDANSARI               
061500	MGR	1/1/2014 00:00:00	BDI BANDA ACEH - SAFIATUDDIN
002200	MGR	1/1/2014 00:00:00	BDI BANDAR JAYA PROKLAMATOR             
022500	MGR	1/1/2014 00:00:00	BDI BANDUNG  - PASIR KALIKI
023700	MGR	1/1/2014 00:00:00	BDI BANDUNG - ADIRA SUKARNO HATTA
022700	MGR	1/1/2014 00:00:00	BDI BANDUNG - ASIA AFRIKA
021200	MGR	1/1/2014 00:00:00	BDI BANDUNG - BUAH BATU
022800	MGR	1/1/2014 00:00:00	BDI BANDUNG - GARDUJATI
022400	MGR	1/1/2014 00:00:00	BDI BANDUNG - JAMIKA
022300	MGR	1/1/2014 00:00:00	BDI BANDUNG - JUANDA
020100	MGR	1/1/2014 00:00:00	BDI BANDUNG - OTISTA
021500	MGR	1/1/2014 00:00:00	BDI BANDUNG - PUNGKUR
021700	MGR	1/1/2014 00:00:00	BDI BANDUNG - SENTRASARI MALL
023300	MGR	1/1/2014 00:00:00	BDI BANDUNG - TAMAN KOPO INDAH II
020700	MGR	1/1/2014 00:00:00	BDI BANDUNG AHMAD YANI                  
020500	MGR	1/1/2014 00:00:00	BDI BANDUNG KOPO                        
020400	MGR	1/1/2014 00:00:00	BDI BANDUNG MERDEKA                     
023200	MGR	1/1/2014 00:00:00	BDI BANDUNG RIAU
020600	MGR	1/1/2014 00:00:00	BDI BANDUNG SETIA BUDI                  
023000	MGR	1/1/2014 00:00:00	BDI BANDUNG SUROPATI
021100	MGR	1/1/2014 00:00:00	BDI BANDUNG-TAMAN KOPO
022100	MGR	1/1/2014 00:00:00	BDI BANDUNG–SUMBERSARI
034000	MGR	1/1/2014 00:00:00	BDI BANGKALAN TRUNOJOYO                 
052200	MGR	1/1/2014 00:00:00	BDI BANJAR BARU KEMUNING                
054100	MGR	1/1/2014 00:00:00	BDI BANJARMASIN - BRIGJEN H.HSN BASRI
050600	MGR	1/1/2014 00:00:00	BDI BANJARMASIN - LAMBUNG MANGKURAT
051500	MGR	1/1/2014 00:00:00	BDI BANJARMASIN - PASAR BARU
050800	MGR	1/1/2014 00:00:00	BDI BANJARMASIN KURIPAN                 
072200	MGR	1/1/2014 00:00:00	BDI BANJARNEGARA VETERAN                
030100	MGR	1/1/2014 00:00:00	BDI BANYUWANGI A YANI                   
032400	MGR	1/1/2014 00:00:00	BDI BANYUWANGI GENTENG                  
036200	MGR	1/1/2014 00:00:00	BDI BANYUWANGI ROGOJAMPI                
060700	MGR	1/1/2014 00:00:00	BDI BATAM -  RADEN PATAH
064900	MGR	1/1/2014 00:00:00	BDI BATAM - GEDUNG NAGOYA
068500	MGR	1/1/2014 00:00:00	BDI BATAM - PALM SPRING
